name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
Aaron Gordon,Orlando Magic,4/4/18,2017,3064290,1610612753,400975916,1,9,28,0,Jump Shot,3PT Field Goal,23,Dallas Mavericks,-230,-43,0,0,,0,0
DeMarcus Cousins,New Orleans Pelicans,12/22/17,2017,4258,1610612740,400975223,3,7,11,0,Jump Shot,3PT Field Goal,22,Orlando Magic,-222,-36,0,0,,0,0
LeBron James,Cleveland Cavaliers,11/27/17,2017,1966,1610612739,400975042,2,0,0,1,Jump Shot,3PT Field Goal,23,Philadelphia 76ers,-231,-33,0,0,,0,0
LeBron James,Cleveland Cavaliers,2/25/18,2017,1966,1610612739,400975640,2,6,24,1,Floating Jump shot,2PT Field Goal,12,San Antonio Spurs,121,-32,0,0,,0,0
Draymond Green,Golden State Warriors,4/3/18,2017,6589,1610612744,400975909,3,11,44,0,Jump Shot,3PT Field Goal,23,Oklahoma City Thunder,231,-32,0,0,,0,0
Goran Dragic,Miami Heat,1/25/18,2017,3423,1610612748,400975456,1,8,52,0,Jump Shot,2PT Field Goal,11,Sacramento Kings,109,-29,0,0,,0,0
LeBron James,Cleveland Cavaliers,2/11/18,2017,1966,1610612739,400975581,1,6,47,0,Driving Layup Shot,2PT Field Goal,4,Boston Celtics,-40,-28,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,3/5/18,2017,2011,1610612739,400975696,2,6,46,1,Jump Shot,3PT Field Goal,23,Detroit Pistons,-237,-27,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,12/8/17,2017,2983,1610612759,400975125,3,7,43,0,Layup Shot,2PT Field Goal,10,Boston Celtics,-101,-27,0,0,,0,0
Goran Dragic,Miami Heat,10/30/17,2017,3423,1610612748,400974844,1,0,45,1,Pullup Jump shot,2PT Field Goal,13,Minnesota Timberwolves,132,-27,0,0,,0,0
Pau Gasol,San Antonio Spurs,11/5/17,2017,996,1610612759,400974892,1,0,1,1,Jump Shot,3PT Field Goal,23,Phoenix Suns,-237,-26,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,3/24/18,2017,2581018,1610612747,400975838,3,9,56,1,Running Jump Shot,2PT Field Goal,19,Memphis Grizzlies,197,-26,0,0,,0,0
Stephen Curry,Golden State Warriors,10/30/17,2017,3975,1610612744,400974851,1,7,8,1,Jump Shot,3PT Field Goal,23,Los Angeles Clippers,-231,-25,0,0,,0,0
Marc Gasol,Memphis Grizzlies,2/1/18,2017,3206,1610612763,400975507,4,1,24,0,Jump Shot,2PT Field Goal,9,Detroit Pistons,-88,-24,0,0,,0,0
Kyle Lowry,Toronto Raptors,1/20/18,2017,3012,1610612761,400975426,1,8,59,1,Jump Shot,3PT Field Goal,23,Minnesota Timberwolves,232,-24,0,0,,0,0
Goran Dragic,Miami Heat,12/23/17,2017,3423,1610612748,400975237,2,4,5,0,Jump Shot,2PT Field Goal,18,New Orleans Pelicans,185,-23,0,0,,0,0
Stephen Curry,Golden State Warriors,12/4/17,2017,3975,1610612744,400975097,3,1,50,1,Jump Shot,3PT Field Goal,23,New Orleans Pelicans,-236,-22,0,0,,0,0
Marc Gasol,Memphis Grizzlies,2/1/18,2017,3206,1610612763,400975507,2,5,44,0,Turnaround Hook Shot,2PT Field Goal,12,Detroit Pistons,-120,-22,0,0,,0,0
James Harden,Houston Rockets,3/25/18,2017,3992,1610612745,400975847,3,4,8,1,Step Back Jump shot,3PT Field Goal,23,Atlanta Hawks,232,-22,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,12/26/17,2017,3032977,1610612749,400975247,2,6,6,0,Jump Shot,3PT Field Goal,23,Chicago Bulls,-235,-20,0,0,,0,0
Kevin Durant,Golden State Warriors,2/28/18,2017,3202,1610612744,400975663,3,11,47,1,Jump Shot,3PT Field Goal,23,Washington Wizards,-231,-20,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,4/5/18,2017,2011,1610612739,400975922,4,1,19,1,Jump Shot,3PT Field Goal,22,Washington Wizards,-226,-20,0,0,,0,0
DeMarcus Cousins,New Orleans Pelicans,12/22/17,2017,4258,1610612740,400975223,3,11,20,0,Turnaround Fadeaway shot,2PT Field Goal,14,Orlando Magic,-141,-20,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,12/1/17,2017,2983,1610612759,400975074,2,5,6,0,Jump Shot,2PT Field Goal,10,Memphis Grizzlies,-108,-20,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,1/28/18,2017,3032977,1610612749,400975477,1,7,48,0,Jump Shot,2PT Field Goal,18,Chicago Bulls,179,-20,0,0,,0,0
Channing Frye,Cleveland Cavaliers,10/21/17,2017,2754,1610612739,400974779,4,6,37,0,Jump Shot,2PT Field Goal,20,Orlando Magic,203,-20,0,0,,0,0
DeMar DeRozan,Toronto Raptors,12/23/17,2017,3978,1610612761,400975231,1,7,14,1,Running Jump Shot,3PT Field Goal,22,Philadelphia 76ers,221,-20,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,10/28/17,2017,2011,1610612739,400974828,3,2,9,1,Jump Shot,3PT Field Goal,23,New Orleans Pelicans,-234,-19,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,1/17/18,2017,3032977,1610612749,400975405,1,11,18,1,Turnaround Fadeaway shot,2PT Field Goal,7,Miami Heat,-77,-19,0,0,,0,0
LeBron James,Cleveland Cavaliers,11/13/17,2017,1966,1610612739,400974944,4,6,26,0,Jump Shot,3PT Field Goal,22,New York Knicks,227,-19,0,0,,0,0
Carmelo Anthony,Oklahoma City Thunder,2/14/18,2017,1975,1610612760,400975607,1,7,34,0,Jump Shot,3PT Field Goal,23,Memphis Grizzlies,233,-19,0,0,,0,0
Jared Dudley,Phoenix Suns,3/2/18,2017,3201,1610612756,400975679,3,1,8,0,Jump Shot,2PT Field Goal,20,Oklahoma City Thunder,-200,-18,0,0,,0,0
Kyle Lowry,Toronto Raptors,10/21/17,2017,3012,1610612761,400974778,3,2,23,0,Jump Shot,3PT Field Goal,22,Philadelphia 76ers,-227,-17,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,3/19/18,2017,2011,1610612739,400975796,3,10,44,0,Jump Shot,3PT Field Goal,22,Milwaukee Bucks,-227,-17,0,0,,0,0
Kyle Lowry,Toronto Raptors,2/26/18,2017,3012,1610612761,400975647,3,6,13,1,Jump Shot,3PT Field Goal,22,Detroit Pistons,-220,-17,0,0,,0,0
Goran Dragic,Miami Heat,11/8/17,2017,3423,1610612748,400974913,3,8,22,1,Step Back Jump shot,2PT Field Goal,16,Phoenix Suns,-165,-17,0,0,,0,0
DeMar DeRozan,Toronto Raptors,3/25/18,2017,3978,1610612761,400975843,1,11,18,0,Turnaround Jump Shot,2PT Field Goal,14,Los Angeles Clippers,-148,-17,0,0,,0,0
LeBron James,Cleveland Cavaliers,12/19/17,2017,1966,1610612739,400975204,1,11,30,1,Fadeaway Jump Shot,2PT Field Goal,9,Milwaukee Bucks,-98,-17,0,0,,0,0
James Harden,Houston Rockets,3/18/18,2017,3992,1610612745,400975794,2,2,24,0,Driving Layup Shot,2PT Field Goal,6,Minnesota Timberwolves,-61,-17,0,0,,0,0
Stephen Curry,Golden State Warriors,11/18/17,2017,3975,1610612744,400974982,1,9,0,0,Jump Shot,2PT Field Goal,12,Philadelphia 76ers,128,-17,0,0,,0,0
LeBron James,Cleveland Cavaliers,11/7/17,2017,1966,1610612739,400974900,4,0,51,1,Fadeaway Jump Shot,2PT Field Goal,13,Milwaukee Bucks,131,-17,0,0,,0,0
Pau Gasol,San Antonio Spurs,10/18/17,2017,996,1610612759,400974440,1,0,27,0,Jump Shot,3PT Field Goal,22,Minnesota Timberwolves,225,-17,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,3/19/18,2017,2011,1610612739,400975796,2,1,20,0,Jump Shot,3PT Field Goal,22,Milwaukee Bucks,227,-17,0,0,,0,0
James Harden,Houston Rockets,3/25/18,2017,3992,1610612745,400975847,1,6,27,0,Jump Shot,3PT Field Goal,23,Atlanta Hawks,-237,-16,0,0,,0,0
Stephen Curry,Golden State Warriors,11/11/17,2017,3975,1610612744,400974935,1,9,26,0,Pullup Jump shot,3PT Field Goal,23,Philadelphia 76ers,-231,-16,0,0,,0,0
Pau Gasol,San Antonio Spurs,11/2/17,2017,996,1610612759,400974868,1,10,0,1,Jump Shot,3PT Field Goal,22,Golden State Warriors,-229,-16,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,1/20/18,2017,2011,1610612739,400975420,4,7,43,0,Jump Shot,3PT Field Goal,22,Oklahoma City Thunder,-228,-16,0,0,,0,0
Kristaps Porzingis,New York Knicks,12/21/17,2017,3102531,1610612752,400975219,2,4,16,0,Jump Shot,3PT Field Goal,22,Boston Celtics,-226,-16,0,0,,0,0
Marc Gasol,Memphis Grizzlies,1/10/18,2017,3206,1610612763,400975355,4,1,52,1,Jump Shot,2PT Field Goal,20,New Orleans Pelicans,-201,-16,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,3/4/18,2017,3032977,1610612749,400975693,1,9,30,1,Step Back Jump shot,2PT Field Goal,12,Philadelphia 76ers,-120,-16,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,12/16/17,2017,2983,1610612759,400975186,4,10,16,0,Jump Shot,2PT Field Goal,10,Dallas Mavericks,-105,-16,0,0,,0,0
Kevin Durant,Golden State Warriors,11/18/17,2017,3202,1610612744,400974982,3,6,23,1,Jump Shot,2PT Field Goal,17,Philadelphia 76ers,177,-16,0,0,,0,0
Pau Gasol,San Antonio Spurs,1/5/18,2017,996,1610612759,400975319,2,10,19,0,Jump Shot,3PT Field Goal,23,Phoenix Suns,232,-16,0,0,,0,0
Goran Dragic,Miami Heat,11/8/17,2017,3423,1610612748,400974913,1,0,44,0,Jump Shot,3PT Field Goal,23,Phoenix Suns,234,-16,0,0,,0,0
DeMar DeRozan,Toronto Raptors,2/1/18,2017,3978,1610612761,400975508,3,11,20,0,Jump Shot,3PT Field Goal,23,Washington Wizards,-237,-15,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,3/19/18,2017,2011,1610612739,400975796,1,9,55,1,Jump Shot,3PT Field Goal,23,Milwaukee Bucks,-234,-15,0,0,,0,0
LeBron James,Cleveland Cavaliers,3/17/18,2017,1966,1610612739,400975785,1,6,47,1,Jump Shot,3PT Field Goal,23,Chicago Bulls,-234,-15,0,0,,0,0
Carmelo Anthony,Oklahoma City Thunder,1/20/18,2017,1975,1610612760,400975420,2,0,30,1,Jump Shot,3PT Field Goal,22,Cleveland Cavaliers,-228,-15,0,0,,0,0
Kyle Lowry,Toronto Raptors,12/17/17,2017,3012,1610612761,400975188,3,3,43,0,Jump Shot,3PT Field Goal,22,Sacramento Kings,-228,-15,0,0,,0,0
Carmelo Anthony,Oklahoma City Thunder,2/24/18,2017,1975,1610612760,400975633,1,2,57,0,Jump Shot,3PT Field Goal,22,Golden State Warriors,-227,-15,0,0,,0,0
James Harden,Houston Rockets,12/28/17,2017,3992,1610612745,400975263,1,10,14,0,Step Back Jump shot,3PT Field Goal,22,Boston Celtics,-226,-15,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,11/24/17,2017,2011,1610612739,400975021,3,4,9,1,Jump Shot,3PT Field Goal,22,Charlotte Hornets,-223,-15,0,0,,0,0
Kyle Lowry,Toronto Raptors,12/5/17,2017,3012,1610612761,400975101,1,7,48,0,Jump Shot,3PT Field Goal,22,Phoenix Suns,-220,-15,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,10/30/17,2017,2983,1610612759,400974843,1,10,23,1,Jump Shot,2PT Field Goal,17,Boston Celtics,-177,-15,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,10/23/17,2017,2983,1610612759,400974797,4,0,37,0,Jump Shot,2PT Field Goal,16,Toronto Raptors,-160,-15,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,11/27/17,2017,2983,1610612759,400975046,3,11,20,0,Fadeaway Jump Shot,2PT Field Goal,14,Dallas Mavericks,-145,-15,0,0,,0,0
Aaron Gordon,Orlando Magic,2/24/18,2017,3064290,1610612753,400975630,1,5,1,0,Fadeaway Jump Shot,2PT Field Goal,11,Philadelphia 76ers,-119,-15,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,12/19/17,2017,3032977,1610612749,400975204,1,2,3,1,Jump Shot,2PT Field Goal,10,Cleveland Cavaliers,-103,-15,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,12/30/17,2017,2983,1610612759,400975276,2,0,58,0,Hook Shot,2PT Field Goal,6,Detroit Pistons,-61,-15,0,0,,0,0
DeMar DeRozan,Toronto Raptors,1/9/18,2017,3978,1610612761,400975345,3,5,5,0,Jump Shot,2PT Field Goal,2,Miami Heat,-22,-15,0,0,,0,0
Kyle Lowry,Toronto Raptors,12/1/17,2017,3012,1610612761,400975070,4,6,48,1,Running Layup Shot,2PT Field Goal,1,Indiana Pacers,-8,-15,0,0,,0,0
Pau Gasol,San Antonio Spurs,1/26/18,2017,996,1610612759,400975468,1,4,57,0,Jump Shot,3PT Field Goal,22,Philadelphia 76ers,228,-15,0,0,,0,0
Marc Gasol,Memphis Grizzlies,12/8/17,2017,3206,1610612763,400975122,3,9,20,1,Jump Shot,2PT Field Goal,18,Toronto Raptors,-183,-14,0,0,,0,0
Goran Dragic,Miami Heat,12/29/17,2017,3423,1610612748,400975269,1,4,4,0,Jump Shot,2PT Field Goal,15,Brooklyn Nets,-155,-14,0,0,,0,0
Kristaps Porzingis,New York Knicks,1/17/18,2017,3102531,1610612752,400975404,1,8,0,0,Turnaround Jump Shot,2PT Field Goal,12,Memphis Grizzlies,-120,-14,0,0,,0,0
Goran Dragic,Miami Heat,1/9/18,2017,3423,1610612748,400975345,4,1,43,0,Layup Shot,2PT Field Goal,3,Toronto Raptors,-35,-14,0,0,,0,0
James Harden,Houston Rockets,3/25/18,2017,3992,1610612745,400975847,3,11,48,0,Driving Layup Shot,2PT Field Goal,1,Atlanta Hawks,4,-14,0,0,,0,0
Aaron Gordon,Orlando Magic,4/4/18,2017,3064290,1610612753,400975916,1,1,30,0,Jump Shot,3PT Field Goal,23,Dallas Mavericks,-234,-13,0,0,,0,0
Pau Gasol,San Antonio Spurs,1/2/18,2017,996,1610612759,400975296,4,8,47,0,Jump Shot,3PT Field Goal,23,New York Knicks,-231,-13,0,0,,0,0
Stephen Curry,Golden State Warriors,12/30/17,2017,3975,1610612744,400975281,3,4,8,1,Turnaround Jump Shot,3PT Field Goal,22,Memphis Grizzlies,-228,-13,0,0,,0,0
Kyle Lowry,Toronto Raptors,3/27/18,2017,3012,1610612761,400975855,3,6,53,0,Jump Shot,3PT Field Goal,22,Denver Nuggets,-227,-13,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,12/2/17,2017,2581018,1610612747,400975083,1,6,9,0,Jump Shot,3PT Field Goal,22,Denver Nuggets,-222,-13,0,0,,0,0
Stephen Curry,Golden State Warriors,10/25/17,2017,3975,1610612744,400974814,3,1,17,1,Pullup Jump shot,3PT Field Goal,22,Toronto Raptors,-222,-13,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,12/6/17,2017,3032977,1610612749,400975110,2,3,1,0,Fadeaway Jump Shot,2PT Field Goal,12,Detroit Pistons,-125,-13,0,0,,0,0
Goran Dragic,Miami Heat,10/30/17,2017,3423,1610612748,400974844,1,0,0,1,Step Back Jump shot,2PT Field Goal,11,Minnesota Timberwolves,-116,-13,0,0,,0,0
Carmelo Anthony,Oklahoma City Thunder,12/13/17,2017,1975,1610612760,400975155,1,8,5,0,Step Back Jump shot,2PT Field Goal,10,Indiana Pacers,-108,-13,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,1/23/18,2017,2983,1610612759,400975444,3,7,2,0,Turnaround Jump Shot,2PT Field Goal,10,Cleveland Cavaliers,-105,-13,0,0,,0,0
Goran Dragic,Miami Heat,2/23/18,2017,3423,1610612748,400975625,2,4,4,0,Turnaround Jump Shot,2PT Field Goal,4,New Orleans Pelicans,-42,-13,0,0,,0,0
Carmelo Anthony,Oklahoma City Thunder,4/3/18,2017,1975,1610612760,400975909,1,6,11,1,Driving Reverse Layup Shot,2PT Field Goal,1,Golden State Warriors,9,-13,0,0,,0,0
Pau Gasol,San Antonio Spurs,10/23/17,2017,996,1610612759,400974797,1,1,19,0,Layup Shot,2PT Field Goal,1,Toronto Raptors,13,-13,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,12/14/17,2017,2011,1610612739,400975166,4,9,58,1,Jump Shot,2PT Field Goal,17,Los Angeles Lakers,179,-13,0,0,,0,0
Jared Dudley,Phoenix Suns,11/26/17,2017,3201,1610612756,400975039,4,8,59,1,Jump Shot,3PT Field Goal,22,Minnesota Timberwolves,227,-13,0,0,,0,0
Pau Gasol,San Antonio Spurs,1/11/18,2017,996,1610612759,400975363,2,0,30,0,Jump Shot,3PT Field Goal,23,Los Angeles Lakers,230,-13,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,10/28/17,2017,2581018,1610612747,400974833,2,7,26,0,Jump Shot,3PT Field Goal,23,Utah Jazz,-234,-12,0,0,,0,0
DeMar DeRozan,Toronto Raptors,4/4/18,2017,3978,1610612761,400975917,1,8,9,1,Pullup Jump shot,3PT Field Goal,23,Boston Celtics,-232,-12,0,0,,0,0
DeMar DeRozan,Toronto Raptors,12/23/17,2017,3978,1610612761,400975231,1,6,15,0,Step Back Jump shot,3PT Field Goal,23,Philadelphia 76ers,-231,-12,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,12/12/17,2017,2581018,1610612747,400975150,2,0,27,1,Jump Shot,3PT Field Goal,23,New York Knicks,-230,-12,0,0,,0,0
Aaron Gordon,Orlando Magic,12/30/17,2017,3064290,1610612753,400975277,1,10,26,0,Jump Shot,3PT Field Goal,22,Miami Heat,-222,-12,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,3/5/18,2017,2011,1610612739,400975696,4,5,47,0,Jump Shot,3PT Field Goal,22,Detroit Pistons,-221,-12,0,0,,0,0
DeMar DeRozan,Toronto Raptors,4/6/18,2017,3978,1610612761,400975933,3,0,31,0,Jump Shot,3PT Field Goal,22,Indiana Pacers,-220,-12,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,11/11/17,2017,2581018,1610612747,400974933,1,9,40,0,Pullup Jump shot,2PT Field Goal,13,Milwaukee Bucks,-130,-12,0,0,,0,0
LeBron James,Cleveland Cavaliers,12/19/17,2017,1966,1610612739,400975204,1,9,31,0,Turnaround Fadeaway shot,2PT Field Goal,12,Milwaukee Bucks,-127,-12,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,3/19/18,2017,2983,1610612759,400975802,4,1,29,0,Jump Shot,2PT Field Goal,12,Golden State Warriors,-122,-12,0,0,,0,0
Pau Gasol,San Antonio Spurs,1/8/18,2017,996,1610612759,400975342,2,11,10,1,Layup Shot,2PT Field Goal,1,Sacramento Kings,-2,-12,0,0,,0,0
Kristaps Porzingis,New York Knicks,1/10/18,2017,3102531,1610612752,400975353,6,1,46,1,Dunk Shot,2PT Field Goal,1,Chicago Bulls,2,-12,0,0,,0,0
DeMarcus Cousins,New Orleans Pelicans,1/12/18,2017,4258,1610612740,400975370,2,7,47,1,Hook Shot,2PT Field Goal,9,Portland Trail Blazers,95,-12,0,0,,0,0
Stephen Curry,Golden State Warriors,11/8/17,2017,3975,1610612744,400974914,3,10,51,1,Driving Floating Bank Jump Shot,2PT Field Goal,9,Minnesota Timberwolves,96,-12,0,0,,0,0
Goran Dragic,Miami Heat,11/12/17,2017,3423,1610612748,400974940,1,5,34,1,Turnaround Fadeaway shot,2PT Field Goal,11,Detroit Pistons,111,-12,0,0,,0,0
Aaron Gordon,Orlando Magic,12/3/17,2017,3064290,1610612753,400975085,1,11,24,1,Step Back Jump shot,2PT Field Goal,15,New York Knicks,159,-12,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,12/4/17,2017,2011,1610612739,400975095,3,0,52,1,Jump Shot,2PT Field Goal,19,Chicago Bulls,196,-12,0,0,,0,0
DeMar DeRozan,Toronto Raptors,4/4/18,2017,3978,1610612761,400975917,1,11,38,0,Jump Shot,2PT Field Goal,21,Boston Celtics,210,-12,0,0,,0,0
Goran Dragic,Miami Heat,10/18/17,2017,3423,1610612748,400974702,3,8,9,1,Jump Shot,3PT Field Goal,23,Orlando Magic,234,-12,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,11/5/17,2017,2581018,1610612747,400974896,1,5,58,0,Jump Shot,3PT Field Goal,23,Memphis Grizzlies,-231,-11,0,0,,0,0
Stephen Curry,Golden State Warriors,1/13/18,2017,3975,1610612744,400975377,3,4,14,0,Jump Shot,3PT Field Goal,23,Toronto Raptors,-230,-11,0,0,,0,0
Marc Gasol,Memphis Grizzlies,1/31/18,2017,3206,1610612763,400975499,1,9,40,0,Jump Shot,3PT Field Goal,22,Indiana Pacers,-227,-11,0,0,,0,0
Kyle Korver,Cleveland Cavaliers,12/12/17,2017,2011,1610612739,400975148,2,5,55,1,Jump Shot,3PT Field Goal,22,Atlanta Hawks,-225,-11,0,0,,0,0
Aaron Gordon,Orlando Magic,1/10/18,2017,3064290,1610612753,400975356,1,1,57,0,Step Back Jump shot,2PT Field Goal,18,Milwaukee Bucks,-187,-11,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,4/1/18,2017,2983,1610612759,400975891,3,5,40,1,Turnaround Jump Shot,2PT Field Goal,13,Houston Rockets,-136,-11,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,1/26/18,2017,2983,1610612759,400975468,1,6,34,1,Pullup Jump shot,2PT Field Goal,13,Philadelphia 76ers,-135,-11,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,12/28/17,2017,3032977,1610612749,400975264,4,6,19,1,Turnaround Fadeaway shot,2PT Field Goal,12,Minnesota Timberwolves,-123,-11,0,0,,0,0
Goran Dragic,Miami Heat,1/14/18,2017,3423,1610612748,400975380,3,3,43,1,Jump Shot,2PT Field Goal,10,Milwaukee Bucks,-105,-11,0,0,,0,0
Pau Gasol,San Antonio Spurs,12/3/17,2017,996,1610612759,400975088,2,1,23,0,Turnaround Jump Shot,2PT Field Goal,7,Oklahoma City Thunder,-74,-11,0,0,,0,0
Steven Adams,Oklahoma City Thunder,12/11/17,2017,2991235,1610612760,400975145,3,6,39,1,Layup Shot,2PT Field Goal,1,Charlotte Hornets,-7,-11,0,0,,0,0
Kyle Lowry,Toronto Raptors,11/19/17,2017,3012,1610612761,400974988,3,5,58,0,Running Layup Shot,2PT Field Goal,1,Washington Wizards,-6,-11,0,0,,0,0
Steven Adams,Oklahoma City Thunder,3/16/18,2017,2991235,1610612760,400975778,2,2,40,1,Layup Shot,2PT Field Goal,1,Los Angeles Clippers,1,-11,0,0,,0,0
Goran Dragic,Miami Heat,10/25/17,2017,3423,1610612748,400974810,1,7,30,1,Step Back Jump shot,2PT Field Goal,9,San Antonio Spurs,91,-11,0,0,,0,0
LeBron James,Cleveland Cavaliers,12/19/17,2017,1966,1610612739,400975204,1,6,0,0,Jump Shot,2PT Field Goal,15,Milwaukee Bucks,158,-11,0,0,,0,0
LeBron James,Cleveland Cavaliers,12/17/17,2017,1966,1610612739,400975191,3,8,28,0,Turnaround Fadeaway shot,2PT Field Goal,17,Washington Wizards,174,-11,0,0,,0,0
Kevin Durant,Golden State Warriors,4/5/18,2017,3202,1610612744,400975921,2,3,31,0,Jump Shot,2PT Field Goal,19,Indiana Pacers,192,-11,0,0,,0,0
Goran Dragic,Miami Heat,4/3/18,2017,3423,1610612748,400975904,2,1,55,1,Jump Shot,3PT Field Goal,22,Atlanta Hawks,228,-11,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,11/29/17,2017,2983,1610612759,400975062,1,10,54,1,Jump Shot,3PT Field Goal,23,Memphis Grizzlies,230,-11,0,0,,0,0
Carmelo Anthony,Oklahoma City Thunder,1/30/18,2017,1975,1610612760,400975490,4,0,24,0,Jump Shot,3PT Field Goal,23,Washington Wizards,-231,-10,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,11/17/17,2017,2983,1610612759,400974974,3,10,45,0,Jump Shot,3PT Field Goal,23,Oklahoma City Thunder,-230,-10,0,0,,0,0
DeMarcus Cousins,New Orleans Pelicans,10/30/17,2017,4258,1610612740,400974848,4,7,53,0,Jump Shot,3PT Field Goal,22,Orlando Magic,-227,-10,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,12/12/17,2017,2581018,1610612747,400975150,3,3,14,1,Jump Shot,3PT Field Goal,22,New York Knicks,-226,-10,0,0,,0,0
Kyle Lowry,Toronto Raptors,1/30/18,2017,3012,1610612761,400975492,2,4,54,0,Jump Shot,3PT Field Goal,22,Minnesota Timberwolves,-225,-10,0,0,,0,0
James Harden,Houston Rockets,11/12/17,2017,3992,1610612745,400974941,1,2,17,0,Step Back Jump shot,3PT Field Goal,22,Indiana Pacers,-222,-10,0,0,,0,0
Kyle Lowry,Toronto Raptors,2/13/18,2017,3012,1610612761,400975593,1,2,28,1,Pullup Jump shot,2PT Field Goal,13,Miami Heat,-137,-10,0,0,,0,0
Steven Adams,Oklahoma City Thunder,3/29/18,2017,2991235,1610612760,400975872,2,6,35,0,Hook Shot,2PT Field Goal,9,San Antonio Spurs,-96,-10,0,0,,0,0
Kevin Durant,Golden State Warriors,1/12/18,2017,3202,1610612744,400975368,1,9,57,1,Turnaround Fadeaway shot,2PT Field Goal,5,Milwaukee Bucks,-49,-10,0,0,,0,0
LaMarcus Aldridge,San Antonio Spurs,12/16/17,2017,2983,1610612759,400975186,4,0,58,1,Hook Shot,2PT Field Goal,1,Dallas Mavericks,-9,-10,0,0,,0,0
Kristaps Porzingis,New York Knicks,11/3/17,2017,3102531,1610612752,400974875,4,4,48,1,Driving Dunk Shot,2PT Field Goal,1,Phoenix Suns,-3,-10,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,1/17/18,2017,3032977,1610612749,400975405,2,1,0,1,Running Layup Shot,2PT Field Goal,1,Miami Heat,-3,-10,0,0,,0,0
Draymond Green,Golden State Warriors,11/16/17,2017,6589,1610612744,400974966,3,8,58,0,Layup Shot,2PT Field Goal,1,Boston Celtics,-1,-10,0,0,,0,0
LeBron James,Cleveland Cavaliers,3/19/18,2017,1966,1610612739,400975796,1,1,13,0,Driving Layup Shot,2PT Field Goal,1,Milwaukee Bucks,3,-10,0,0,,0,0
Stephen Curry,Golden State Warriors,11/19/17,2017,3975,1610612744,400974987,4,4,40,1,Driving Layup Shot,2PT Field Goal,1,Brooklyn Nets,3,-10,0,0,,0,0
Kentavious CaldwellPope,Los Angeles Lakers,11/27/17,2017,2581018,1610612747,400975048,1,4,1,0,Driving Layup Shot,2PT Field Goal,1,Los Angeles Clippers,8,-10,0,0,,0,0
Draymond Green,Golden State Warriors,12/4/17,2017,6589,1610612744,400975097,2,4,3,1,Layup Shot,2PT Field Goal,1,New Orleans Pelicans,16,-10,0,0,,0,0
Giannis Antetokounmpo,Milwaukee Bucks,11/10/17,2017,3032977,1610612749,400974924,1,10,47,0,Jump Shot,2PT Field Goal,9,San Antonio Spurs,98,-10,0,0,,0,0
Carmelo Anthony,Oklahoma City Thunder,12/23/17,2017,1975,1610612760,400975239,2,1,14,1,Jump Shot,2PT Field Goal,14,Utah Jazz,147,-10,0,0,,0,0
Goran Dragic,Miami Heat,2/3/18,2017,3423,1610612748,400975522,1,10,59,0,Pullup Jump shot,2PT Field Goal,15,Detroit Pistons,158,-10,0,0,,0,0
